Product Name,Product URL,Image URL,Old Price,Deal Price,Rating,Number of Ratings,Delivery Date
"Lumiford XploriaHD XP70 in-Ear Bluetooth Earphones with Smart Magnetic Control, Extra Bass Drivers, Long Battery Life with Comfortable Ear fit Design.",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A08500203VYM0Z0IJ49TR&url=%2FXploriaHD-XP70-Bluetooth-Earphones-Comfortable%2Fdp%2FB08R8JZ68X%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-2-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/51yowueMriL._AC_UL320_.jpg,"₹2,599","₹1,599",4.8,20,01/05/2021
"LUMIFORD U60 Magnetic Earbud in-Ear Wired Earphones with mic, in-line Volume Controllers, Tangle Free Cord (Black)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A0914199293H0PAP5IBS9&url=%2FLUMIFORD-U60-Magnetic-Earphones-Controllers%2Fdp%2FB08P5HWDD4%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26smid%3DA14CZOWI0VEHLG%26sr%3D1-3-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/51JOQpCF3kL._AC_UL320_.jpg,"₹1,299",₹499,4.0,787,30/04/2021
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_4?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-4,https://m.media-amazon.com/images/I/719elVA3FvL._AC_UL320_.jpg,₹999,₹399,4.1,"152,175",30/04/2021
OnePlus Bullets Wireless Z Bass Edition (Reverb Red),https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Reverb/dp/B08HLTFB33/ref=sr_1_5?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-5,https://m.media-amazon.com/images/I/61DKcGr12OL._AC_UL320_.jpg,"₹2,190","₹1,999",4.3,"102,235",30/04/2021
OnePlus Bullets Wireless Z in-Ear Bluetooth Earphones with Mic (Black),https://www.amazon.in/OnePlus-Bullets-Wireless-Bluetooth-Earphones/dp/B086CSGV2N/ref=sr_1_6?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-6,https://m.media-amazon.com/images/I/616bhfyXimL._AC_UL320_.jpg,"₹2,190","₹1,999",4.3,"102,235",30/04/2021
boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic (Active Black),https://www.amazon.in/255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJXP4/ref=sr_1_7?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-7,https://m.media-amazon.com/images/I/61ku39qVEzL._AC_UL320_.jpg,"₹2,990","₹1,299",4.0,"213,833",30/04/2021
JBL C100SI In-Ear Deep Bass Headphones with Mic (Black),https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_8?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-8,https://m.media-amazon.com/images/I/61ptzNC8r8L._AC_UL320_.jpg,"₹1,299",₹699,4.0,"107,175",30/04/2021
realme Buds 2 with Mic for Android Smartphones (Black),https://www.amazon.in/Realme-Buds-Android-Smartphones-Black/dp/B07XMFDHSG/ref=sr_1_9?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-9,https://m.media-amazon.com/images/I/51F5+NiGOxL._AC_UL320_.jpg,₹799,₹599,4.3,"55,007",30/04/2021
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_10?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-10,https://m.media-amazon.com/images/I/61+tzvHZi+L._AC_UL320_.jpg,"₹1,490",₹499,4.1,"33,226",30/04/2021
boAt Rockerz 255 Pro in-Ear Bluetooth Neckband Earphone with Mic(Navy Blue),https://www.amazon.in/Rockerz-255-Pro-Technology-Resistance/dp/B082VS5H3Y/ref=sr_1_11?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&smid=A14CZOWI0VEHLG&sr=1-11,https://m.media-amazon.com/images/I/61fkjbrjnUL._AC_UL320_.jpg,"₹3,499","₹1,299",4.0,"213,833",30/04/2021
